Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2016 Q4,R0500,Total available own funds to meet the SCR,17771.245675,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0510,Total available own funds to meet the MCR,773.980735,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0510,Total available own funds to meet the MCR,17646.632348,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0510,Total available own funds to meet the MCR,17697.31438,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0540,Total eligible own funds to meet the SCR,773.980735,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0540,Total eligible own funds to meet the SCR,17304.323461,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0540,Total eligible own funds to meet the SCR,17771.245675,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0550,Total eligible own funds to meet the MCR,773.980735,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0550,Total eligible own funds to meet the MCR,15952.58296,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0550,Total eligible own funds to meet the MCR,17331.301609,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0580,SCR,392.741473,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0580,SCR,4583.791987,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0580,SCR,8002.080098,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0600,MCR,176.253707,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0600,MCR,1202.922555,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0600,MCR,2467.741711,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620,Ratio of Eligible own funds to SCR,2.7622,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620,Ratio of Eligible own funds to SCR,1.97071,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620,Ratio of Eligible own funds to SCR,3.77511,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620,Ratio of Eligible own funds to SCR,2.22083,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.72339,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),2.00869,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.76988,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.74925,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.99129,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.36879,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.24036,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.9507,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.42186,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.53303,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),3.07721,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.21261,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.92738,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.72113,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),4.00712,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.43052,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.99977,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.75154,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),4.28293,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.63559,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640,Ratio of Eligible own funds to MCR,8.85329,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640,Ratio of Eligible own funds to MCR,4.39129,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0640,Ratio of Eligible own funds to MCR,13.26152,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640,Ratio of Eligible own funds to MCR,7.02314,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),3.96403,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.87244,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.78383,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.29579,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),5.46962,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),4.10496,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),6.69686,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),5.83873,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.15978,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),5.69494,Life undertakings,20250930,6
