Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788973,516.1704245
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52886.66164,56256.80073,54220.3285,54282.61761
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12874.74069,14339.85806,16245.19386,16551.84889,16595.93527,19239.8185,19548.69305,22699.53517,24543.30406
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,82153.07454,82254.37705,85217.36915,84121.93103,85897.78433,93664.77367,94394.51068,100631.8028,103669.872
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,55950.14829,55806.57089,60783.35293,60568.10835,56785.9402,66912.17532,67627.30845,74589.13812,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16206.83255,15405.61658,17067.03648,16709.8894
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2333.371283,2554.673049,2709.895116
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911,1762.368351
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301,558.0340773,642.6122671,633.3956617,647.4357048
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455,2482.248947
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6680.445069,7000.836605,7913.988015
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1365.484034,1423.924802,1540.711323,1519.263863,1527.169909,1587.729886,1533.877553,1682.202851,1784.115469
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3608.966052,3893.095714,4294.9651,4380.781173,3539.226612,3971.444092,4323.31362,4861.291841,5272.85253
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681,18587.15322
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13297.74435,13637.12072,13815.32652,13938.20232,11925.7574,13833.30993,17355.83666,17582.26368,20173.95647
